,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
25185,CC=1C=CC(=CC1C)S(=O)(=O)N2CCN(CC2)C(=O)CC=3C=CC=CC3,Z29541913,372.483,372.483,3.87,-4.614,0,3,57.69,3,https://real.enamine.net/public-enum-files/Z29541913,<rdkit.Chem.rdchem.Mol object at 0x309cf33e0>,0.827962320960879
25187,CC1CC(C)CN(C1)S(=O)(=O)C=2C=CC(=CC2)NC(=O)C3=CC=CC=C3F,Z29588383,390.474,390.474,4.34,-5.653,1,3,66.48,3,https://real.enamine.net/public-enum-files/Z29588383,<rdkit.Chem.rdchem.Mol object at 0x309cf34c0>,0.8647275572106771
25188,CCC=1C=CC=CC1NC(=O)CC2=COC=3C=C(C)C=CC23,Z29648224,293.36,293.36,3.916,-5.1,1,1,42.24,5,https://real.enamine.net/public-enum-files/Z29648224,<rdkit.Chem.rdchem.Mol object at 0x309cf3530>,0.7700354864647149
25190,CC=1C=CC(Cl)=CC1N2CCN(CC2)C(=O)C3CC4C=CC3C4,Z29702145,330.852,330.852,4.384,-4.415,0,2,23.55,3,https://real.enamine.net/public-enum-files/Z29702145,<rdkit.Chem.rdchem.Mol object at 0x309cf3610>,0.7747072533020546
25191,CCN1CCCC1CNC(=O)C=2SC=3C=CC=CC3C2Cl,Z29697642,322.854,322.854,3.648,-4.49,1,2,32.34,5,https://real.enamine.net/public-enum-files/Z29697642,<rdkit.Chem.rdchem.Mol object at 0x309cf3680>,0.9289980722068932
25192,CC1CCC(CC1)NC(=O)C2C3=CC=CC=C3OC=4C=CC=CC42,Z29691737,321.414,321.414,4.904,-5.35,1,1,38.33,3,https://real.enamine.net/public-enum-files/Z29691737,<rdkit.Chem.rdchem.Mol object at 0x309cf36f0>,0.8762979107494941
25193,O=C(C=1C=CC=2C=CC=CC2N1)N3CC=C(CC3)C=4C=CC=CC4,Z29699561,314.381,314.381,3.387,-5.446,0,2,33.2,3,https://real.enamine.net/public-enum-files/Z29699561,<rdkit.Chem.rdchem.Mol object at 0x309cf3760>,0.7112417534488202
25194,CCOC=1C=CC(=CC1)C2=NN=C(NC(=O)C=3C=CC=C(Cl)C3)O2,Z29724841,343.765,343.765,3.769,-6.23,1,4,77.25,6,https://real.enamine.net/public-enum-files/Z29724841,<rdkit.Chem.rdchem.Mol object at 0x309cf37d0>,0.7560496774300219
25195,COC=1C=C(C=C(C1)C(=O)NC2=NC=3C(C)=CC=CC3S2)OC,Z29809130,328.387,328.387,4.063,-5.107,1,4,60.45,5,https://real.enamine.net/public-enum-files/Z29809130,<rdkit.Chem.rdchem.Mol object at 0x309cf3840>,0.7895021419341558
25196,CC=1C=CC=C2SC(=NC12)NC(=O)C=3C=CC=C(F)C3,Z29809145,286.326,286.326,4.151,-5.384,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z29809145,<rdkit.Chem.rdchem.Mol object at 0x309cf38b0>,0.7734527724172492
25198,CC=1C=C(F)C=CC1NC(=O)C=2C=CC=3C=CC=CC3N2,Z29828011,280.297,280.297,3.713,-4.978,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z29828011,<rdkit.Chem.rdchem.Mol object at 0x309cf3990>,0.7723219241392809
25199,CN(C(=O)CC=1C=CC(F)=CC1)C2CCC=3C=CC=CC32,Z272434470,283.341,283.341,3.211,-3.743,0,1,20.31,4,https://real.enamine.net/public-enum-files/Z272434470,<rdkit.Chem.rdchem.Mol object at 0x309cf3a00>,0.8437849630939487
